user_index,user_type,source_dataset,source_site_id,site_id,original_user_index,session_index,request_in_session_index,url,timestamp,http_method,request_body_size,response_body_size,revised_status,execution_time,api_endpoint,header,data,data_valid,source_file,original_status
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,1,http://111.229.33.190:8081/space/spaces,2025-03-21 05:52:54,GET,2,82051,200,108.466,/space/spaces,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,2,http://111.229.33.190:8081/user/profile/about?cguid=d6255cac-01c8-4dc9-aea9-547c358feb53,2025-03-21 05:52:54,GET,2,39294,200,49.381,/user/profile/about,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,3,http://111.229.33.190:8081/user/account/edit?_pjax=%23layout-content&_=1737030567817,2025-03-21 05:52:54,GET,2,54512,200,60.939,/user/account/edit,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,4,http://111.229.33.190:8081/user/account/edit-settings,2025-03-21 05:52:54,GET,2,69986,200,62.914,/user/account/edit-settings,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,5,http://111.229.33.190:8081/user/profile?cguid=86c141b9-b1d3-4193-a270-d200603fca48,2025-03-21 05:52:55,GET,2,49840,200,57.552,/user/profile,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,6,http://111.229.33.190:8081/notification/list?from=0,2025-03-21 05:52:55,GET,2,64,200,21.735,/notification/list,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,7,http://111.229.33.190:8081/space/browse/search-json?keyword=New%20Grp,2025-03-21 05:52:55,GET,2,2,200,22.572,/space/browse/search-json,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,8,http://111.229.33.190:8081/space/space/about?cguid=d68bbc02-db72-40c2-b31e-4e174d7ca81c,2025-03-21 05:52:55,GET,2,49746,200,55.368,/space/space/about,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,9,http://111.229.33.190:8081/space/space/follow?cguid=78d3f2d5-4193-4c6a-ac11-72757437b1a3,2025-03-21 05:52:55,POST,2,33272,200,454.618,/space/space/follow,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D', 'Content-Length': '0'}",,True,D:\browser\test\combined_data\abnormal.json,
train_bacalarm_184,1,train,bacalarm,bacalarm,184,1,10,http://111.229.33.190:8081/like/like/like?contentModel=humhub%5Cmodules%5Cpost%5Cmodels%5CPost&contentId=10,2025-03-21 05:52:56,POST,2,33272,200,916.762,/like/like/like,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/x-www-form-urlencoded; charset=UTF-8', 'Cookie': 'PHPSESSID=e9lntqlt3hoq4e03itr0opn024; _csrf=df7e2e5ba58f551d1556c77b1dcba57f143238a368a4ccf2db8760b6799c1307a%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%22WaAvxzpKX_hRO0kpoJRYD-T_1iQbRlCx%22%3B%7D; _identity=90c4d590c8f2fcde7fd8bf0c43b3573c6ddd2bd910fb2f901caeb6f2f0bfbf7ba%3A2%3A%7Bi%3A0%3Bs%3A9%3A%22_identity%22%3Bi%3A1%3Bs%3A50%3A%22%5B5%2C%22b92568e9-c3d5-4d87-b045-c39b1aa18901%22%2C2592000%5D%22%3B%7D', 'Content-Length': '0'}",,True,D:\browser\test\combined_data\abnormal.json,
